,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,ClipAndMerge,100000000,120,0,0.01,2,0.6309573444801932,27971,47979,75950,0.6317182356813693,0.6271952770840108,0.6362246627168817,1.994765862345163,1.9638949984002199,2.025972206426156
1,ClipAndMerge,100000000,120,0,0.01,13,0.05011872336272722,462019,24182,486201,0.04973663155773024,0.04893691292597635,0.050545175880083226,13.033236309162433,12.96320287919393,13.103634306013177
2,ClipAndMerge,100000000,120,0,0.01,14,0.039810717055349734,8937361,369555,9306916,0.03970756800641587,0.03954287542246426,0.03987273129839475,14.011267116200216,13.993240139690787,14.02931753466839
3,ClipAndMerge,100000000,120,0,0.01,15,0.03162277660168379,12908178,420643,13328821,0.031558905322533776,0.031435690791088544,0.03168245433671868,15.008780694875925,14.991811823979956,15.025769917012093
4,ClipAndMerge,100000000,120,0,0.01,16,0.025118864315095794,36989623,950836,37940459,0.025061267708964722,0.024995947467255863,0.025126707070345145,16.009969642643366,15.998644232611372,16.021303967388615
5,ClipAndMerge,100000000,120,0,0.01,18,0.015848931924611134,3137312,50245,3187557,0.015762855377958733,0.015583718245459455,0.01594343946200305,18.023651090185986,17.974179829251252,18.07328912464201
6,ClipAndMerge,100000000,120,0,0.01,21,0.007943282347242814,726801,5626,732427,0.007681311584635739,0.007421056004610516,0.00794798474729208,21.14564617815329,20.99742975001231,21.29534290901104
7,ClipAndMerge,100000000,120,0,0.01,22,0.00630957344480193,163300,1042,164342,0.006340436407004904,0.005847355610448579,0.00686233116351509,21.978808489587443,21.635283275190105,22.330404934794153
8,ClipAndMerge,100000000,120,0,0.01,23,0.005011872336272725,2447128,12131,2459259,0.004932786664601004,0.004818464411246337,0.005049028699703362,23.069076666967973,22.967921606795624,23.17091344329032
9,ClipAndMerge,100000000,120,0,0.01,24,0.003981071705534973,3747053,14786,3761839,0.003930524405749422,0.0038479215202827932,0.00401438457655845,24.0554950272133,23.963810246047,24.14773794133105
10,ClipAndMerge,100000000,120,0,0.01,25,0.0031622776601683794,13424172,42400,13466572,0.0031485369847649423,0.003109351323037246,0.0031880740989594925,25.0189120082627,24.964715930490627,25.073302046096533
11,ClipAndMerge,100000000,120,0,0.01,26,0.0025118864315095794,6428347,16067,6444414,0.002493166950478352,0.002442855633941865,0.002544214249475485,26.03248638767049,25.94446319341602,26.121021978792065
12,ClipAndMerge,100000000,120,0,0.01,27,0.001995262314968879,14147599,28193,14175792,0.001988813041274872,0.001958465371750373,0.002019495458251086,27.014060408870925,26.9475711920046,27.080841029472023
13,ClipAndMerge,100000000,120,0,0.01,28,0.001584893192461114,14621742,22862,14644604,0.0015611210791360423,0.0015346748237874408,0.0015878917014708893,28.065634121448724,27.99179120962738,28.1398363138889
14,ClipAndMerge,100000000,120,0,0.01,29,0.0012589254117941675,24061995,30028,24092023,0.0012463876528758088,0.0012279498460850968,0.0012650227094028743,29.043468619135385,28.979016780614202,29.108193709906992
15,ClipAndMerge,100000000,120,0,0.01,30,0.001,4692854,4717,4697571,0.0010041359672903294,0.0009668941150274835,0.0010423923185577388,29.98207476587573,29.819687976219097,30.146210830805153
16,ClipAndMerge,100000000,120,0,0.01,31,0.0007943282347242813,27869818,22091,27891909,0.0007920218010176356,0.0007783683718465273,0.0008058458065154372,31.012628639517313,30.937480497405456,31.088148194658025
17,ClipAndMerge,100000000,120,0,0.01,32,0.000630957344480193,16690449,10514,16700963,0.0006295445358450288,0.0006138471693786229,0.0006455271025265219,32.009735411914114,31.900855191131022,32.119397424702456
18,ClipAndMerge,100000000,120,0,0.01,33,0.0005011872336272725,97651747,48327,97700074,0.0004946465035430782,0.0004888712899822067,0.0005004704144863092,33.057050564285085,33.00621590922154,33.10805466864654
19,ClipAndMerge,100000000,120,0,0.01,34,0.00039810717055349735,207218223,82034,207300257,0.0003957255103644179,0.00039217637988542275,0.0003992975897881834,34.02605952126221,33.98703311255328,34.06518566696613
20,ClipAndMerge,100000000,120,0,0.01,35,0.00031622776601683794,87861301,27609,87888910,0.00031413519635184917,0.0003092875486518931,0.00031903701860025446,35.02883401630641,34.961589218297846,35.09637563542319
21,ClipAndMerge,100000000,120,0,0.01,36,0.00025118864315095795,144040803,36254,144077057,0.0002516292375405753,0.000248238611688989,0.0002550529078920727,35.992388983427624,35.93369720655508,36.05130666272977
