,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,fastp,100000000,120,0,0.01,2,0.6309573444801932,193081,29582,222663,0.13285548115313275,0.13100829845709727,0.13471837627952032,8.766205234106089,8.705731602349697,8.82701193962709
1,fastp,100000000,120,0,0.01,13,0.05011872336272722,42830886,179958,43010844,0.004184014617336968,0.004158705710194832,0.004209433259801498,23.784068068803386,23.757763717912272,23.810418112918406
2,fastp,100000000,120,0,0.01,14,0.039810717055349734,83634851,300556,83935407,0.0035808011272287035,0.003564029246225009,0.003597629299947336,24.46019798436728,24.4398358842832,24.480587408242695
3,fastp,100000000,120,0,0.01,15,0.03162277660168379,144705221,4728436,149433657,0.031642376255303716,0.03160550319933475,0.0316792791314755,14.997309096302697,14.99224709430534,15.002372907671733
4,fastp,100000000,120,0,0.01,16,0.025118864315095794,181008065,4663891,185671956,0.02511898458160262,0.02508941251543384,0.025148580982138014,15.999979206482198,15.99486515141395,16.005095078481002
5,fastp,100000000,120,0,0.01,18,0.015848931924611134,8722995,140296,8863291,0.01582888342490391,0.01572109776024877,0.01593718914094988,18.005497193452097,17.97588273167021,18.035171316698296
6,fastp,100000000,120,0,0.01,21,0.007943282347242814,10742989,86383,10829372,0.007976732168772113,0.007907273338452647,0.008046623622273485,20.98174989818785,20.94386312155404,21.01973248260816
7,fastp,100000000,120,0,0.01,22,0.00630957344480193,1146129,7260,1153389,0.0062944938784746515,0.006106409675970648,0.006486663107844404,22.01039184479448,21.8797865705721,22.142140624603826
8,fastp,100000000,120,0,0.01,23,0.005011872336272725,33061140,166030,33227170,0.00499681435403617,0.004965361561797277,0.00502840896384138,23.013067855414807,22.9856940809093,23.040491220777074
9,fastp,100000000,120,0,0.01,24,0.003981071705534973,20164064,80130,20244194,0.003958171908449405,0.003922317572280565,0.003994259568803948,24.02505347757293,23.985637157206323,24.064572463883955
10,fastp,100000000,120,0,0.01,25,0.0031622776601683794,64077956,203261,64281217,0.003162058988397808,0.0031440506440457705,0.0031801409056790853,25.000300325389432,24.97553636869916,25.025104670052517
11,fastp,100000000,120,0,0.01,26,0.0025118864315095794,30768751,77073,30845824,0.002498652653921646,0.0024755590304467168,0.0025218998620031297,26.02294112408872,25.98272162109837,26.06326713326997
12,fastp,100000000,120,0,0.01,27,0.001995262314968879,63114997,125987,63240984,0.0019921733033122953,0.001977760158755504,0.0020066614191894816,27.006728840858063,26.975258991528833,27.038263760576275
13,fastp,100000000,120,0,0.01,28,0.001584893192461114,64286295,102315,64388610,0.0015890232760110833,0.0015762664005880556,0.0016018538522604153,27.988697412009667,27.95377110007214,28.02370381689068
14,fastp,100000000,120,0,0.01,29,0.0012589254117941675,106878560,134924,107013484,0.001260813076602571,0.0012519947052687108,0.0012696758171105715,28.993492955184728,28.963071521246327,29.023975077689155
15,fastp,100000000,120,0,0.01,30,0.001,14523418,14908,14538326,0.0010254275492240304,0.0010039347399252163,0.001047247586487443,29.890950189462764,29.799506318513387,29.98294517282161
16,fastp,100000000,120,0,0.01,31,0.0007943282347242813,112215163,90631,112305794,0.0008070019967090923,0.0008001166399933535,0.0008139296770554028,30.931253907318727,30.894131162239518,30.968466974917916
17,fastp,100000000,120,0,0.01,32,0.000630957344480193,46729623,30249,46759872,0.0006469008298397395,0.0006373632911151894,0.0006565401188006748,31.891622917493116,31.827387305929285,31.956129532959284
18,fastp,100000000,120,0,0.01,33,0.0005011872336272725,250013855,129030,250142885,0.0005158251852736088,0.0005121347244696484,0.0005195346562928416,32.87497457160609,32.84385476913863,32.90615776529821
19,fastp,100000000,120,0,0.01,34,0.00039810717055349735,549206389,222823,549429212,0.00040555360933375344,0.0004033444533471098,0.0004077714206019989,33.919517291249754,33.89583215806021,33.94323910946891
20,fastp,100000000,120,0,0.01,35,0.00031622776601683794,212066630,67618,212134248,0.0003187509826324696,0.0003156028764875751,0.00032192152037402444,34.9654846773069,34.922499898652234,35.00859047170513
21,fastp,100000000,120,0,0.01,36,0.00025118864315095795,339776597,87309,339863906,0.00025689400509626344,0.00025466036517385326,0.0002591416462295326,35.90246030354092,35.86462786650393,35.940386424950816
22,fastp,100000000,120,0,0.01,37,0.00019952623149688788,499349904,101490,499451394,0.00020320295672255145,0.00020156389051451118,0.00020485155078897588,36.92069977101965,36.885607439561625,36.95587267637774
23,fastp,100000000,120,0,0.01,38,0.00015848931924611142,9102508149,1482992,9103991141,0.00016289471035635316,0.00016255039274715166,0.0001632395503853301,37.880930182104954,37.8717461008499,37.890119768432484
0,fastp,100000000,120,-10,0.01,0,1.0,0,518348,518348,1.0,0.9999897785073191,1.0,0.0,0.0,4.439160555603952e-05
1,fastp,100000000,120,-10,0.01,3,0.5011872336272722,22364211,22463495,44827706,0.5011073955022369,0.5009150251281135,0.5012997656413334,3.0006918775420717,2.999024984204581,3.002359412943871
2,fastp,100000000,120,-10,0.01,4,0.3981071705534972,52125176,34278340,86403516,0.39672390183751316,0.39658833485521583,0.39685948019138695,4.015116333462867,4.013632407945797,4.016600641663092
3,fastp,100000000,120,-10,0.01,5,0.31622776601683794,101513370,46861495,148374865,0.3158317616666408,0.3157334658434945,0.31593006929842393,5.005441972443132,5.004090372512133,5.006793830717521
4,fastp,100000000,120,-10,0.01,6,0.251188643150958,138114496,45926765,184041261,0.24954602435591874,0.24946386122525777,0.24962820043328238,6.028493447080575,6.027063540827665,6.029923598891811
5,fastp,100000000,120,-10,0.01,8,0.15848931924611134,7406279,1373517,8779796,0.1564406507850524,0.1561249834164128,0.15675669050498908,8.056503860734654,8.047739140545712,8.065275947485418
6,fastp,100000000,120,-10,0.01,11,0.07943282347242814,9903051,852130,10755181,0.07922972193587444,0.07901771896478049,0.07944209720123796,11.01111868267876,10.999492993703946,11.022755114213068
7,fastp,100000000,120,-10,0.01,12,0.06309573444801933,1071990,71766,1143756,0.06274590034937522,0.06216320370318784,0.06333223764390428,12.02414644568963,11.983751672824518,12.064666114085172
8,fastp,100000000,120,-10,0.01,13,0.05011872336272722,31363535,1652468,33016003,0.050050516411692836,0.04995281776400018,0.0501483447353438,13.005914371938218,12.997433973229287,13.014400088425779
9,fastp,100000000,120,-10,0.01,14,0.039810717055349734,19322336,798129,20120465,0.03966752259453248,0.03955552702340093,0.039779735883609724,14.015649222160757,14.003381046874923,14.027928247312138
10,fastp,100000000,120,-10,0.01,15,0.03162277660168379,61870784,2006528,63877312,0.03141221722041153,0.03135602795033021,0.03146847629043403,15.029014079948357,15.021242851985374,15.036789571007745
11,fastp,100000000,120,-10,0.01,16,0.025118864315095794,29887074,764512,30651586,0.024942004632321473,0.024869506352443782,0.025014650400033034,16.030686444513545,16.018055623547273,16.043328351778893
12,fastp,100000000,120,-10,0.01,17,0.0199526231496888,61602212,1243656,62845868,0.01978898596801941,0.01974376105765574,0.019834283587396917,17.035764594457866,17.025834815855596,17.045701135205118
13,fastp,100000000,120,-10,0.01,18,0.015848931924611134,62973413,1006280,63979693,0.015728115481892044,0.015688076205173762,0.015768226784994566,18.033233107425886,18.02217142485371,18.04430309740191
14,fastp,100000000,120,-10,0.01,19,0.012589254117941675,105009382,1329774,106339156,0.012505026840724597,0.012477286452677538,0.012532810850806597,19.0291537176506,19.019515147926445,19.03879854298338
15,fastp,100000000,120,-10,0.01,20,0.01,14292630,142117,14434747,0.009845479106769242,0.009778666510475986,0.009912614971490763,20.067631451060212,20.038117624794396,20.097203647039258
16,fastp,100000000,120,-10,0.01,21,0.007943282347242814,110657456,880867,111538323,0.007897438085024822,0.007875865892192357,0.007919052261842086,21.025137702265454,21.013267908954706,21.037016875030282
17,fastp,100000000,120,-10,0.01,22,0.00630957344480193,46093533,289306,46382839,0.006237349981962079,0.006207612918135874,0.0062671883684134455,22.04999886705556,22.029272518241875,22.070753717690014
18,fastp,100000000,120,-10,0.01,23,0.005011872336272725,247017017,1234145,248251162,0.004971356387850462,0.004959865743208058,0.00498286600704434,23.03525101932639,23.025207911720432,23.045300791092053
19,fastp,100000000,120,-10,0.01,24,0.003981071705534973,543380390,2146394,545526784,0.003934534587398004,0.003927634014004089,0.003941443813055723,24.051066325753215,24.04344660108019,24.058689875611854
20,fastp,100000000,120,-10,0.01,25,0.0031622776601683794,210053478,663253,210716731,0.003147604828778404,0.0031376739759066963,0.0031575581204342784,25.020197971051253,25.006486467420427,25.033921843375158
