,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
0,bbmerge,100000000,120,0,0.01,0,1.0,0,2310512,2310512,1.0,0.9999977068670097,1.0,0.0,0.0,9.958961458070255e-06
1,bbmerge,100000000,120,0,0.01,1,0.7943282347242815,488831,391637,880468,0.4448054898076932,0.4434410549572121,0.44617052136306956,3.518298613125212,3.5049912708730737,3.53164101217077
2,bbmerge,100000000,120,0,0.01,2,0.6309573444801932,317399,202271,519670,0.3892297034656609,0.3874875735049408,0.39097386276455315,4.097940246241542,4.078522749226582,4.1174222049900795
3,bbmerge,100000000,120,0,0.01,3,0.5011872336272722,227759,114725,342484,0.33497915231076486,0.33290258147991814,0.33706031139351644,4.74982220778474,4.722923823278729,4.776828371108702
4,bbmerge,100000000,120,0,0.01,4,0.3981071705534972,313267,124219,437486,0.28393822888046705,0.2821834534758765,0.28569770681691864,5.467761309890565,5.440932455141948,5.49468455765242
5,bbmerge,100000000,120,0,0.01,5,0.31622776601683794,249575,78348,327923,0.23892194204127187,0.23700610643937425,0.240845359974172,6.217439638128771,6.182617162045369,6.252404642904875
6,bbmerge,100000000,120,0,0.01,6,0.251188643150958,82726,20810,103536,0.20099289136145881,0.19779385031733943,0.20421946304453398,6.968193022665053,6.899028700354,7.037872153412838
7,bbmerge,100000000,120,0,0.01,7,0.19952623149688797,191392,37678,229070,0.1644824726066268,0.16249215010462925,0.1664867501272691,7.8388037404095545,7.786203241731997,7.891676146764242
8,bbmerge,100000000,120,0,0.01,8,0.15848931924611134,101003,15938,116941,0.1362909501372487,0.13371717314286635,0.13889438255649744,8.655329808193263,8.573153185103973,8.738128132149104
9,bbmerge,100000000,120,0,0.01,9,0.12589254117941673,325755,41036,366791,0.11187842667895341,0.11054145019633255,0.11322548378766628,9.512536496427808,9.460558149959436,9.564748421955896
10,bbmerge,100000000,120,0,0.01,10,0.1,299425,29970,329395,0.09098498762883468,0.08969867467038206,0.09228313253748999,10.410302596328078,10.348776718378105,10.472139737629533
11,bbmerge,100000000,120,0,0.01,11,0.07943282347242814,401038,32155,433193,0.07422788456877188,0.07320549494518713,0.07525963902091781,11.294329162922628,11.234378690828493,11.354563187393392
12,bbmerge,100000000,120,0,0.01,12,0.06309573444801933,306073,19085,325158,0.05869454234556738,0.057637689786696256,0.05976433217915722,12.314022793213383,12.235579290422184,12.392934347455707
13,bbmerge,100000000,120,0,0.01,13,0.05011872336272722,599033,29684,628717,0.04721361121140354,0.046527241725562996,0.04790684285117053,13.259327805641723,13.196024490018894,13.322926929830558
14,bbmerge,100000000,120,0,0.01,14,0.039810717055349734,335657,13223,348880,0.03790128410914928,0.03707340510643342,0.038741793620648,14.213460757292795,14.118202767114328,14.309375231957073
15,bbmerge,100000000,120,0,0.01,15,0.03162277660168379,398525,12495,411020,0.03039998053622695,0.029714410397978397,0.03109644632815234,15.171266944508496,15.07289238891371,15.270328827184052
16,bbmerge,100000000,120,0,0.01,16,0.025118864315095794,192323,4714,197037,0.023924440587300862,0.023046648637135903,0.024825309139536067,16.21158208313447,16.05105334705342,16.373922192643064
17,bbmerge,100000000,120,0,0.01,17,0.0199526231496888,1574357,7665,1582022,0.004845065365715521,0.004704036365886455,0.004989081081400393,23.147003594226977,23.019794379492456,23.275293294823495
18,bbmerge,100000000,120,0,0.01,18,0.015848931924611134,4894290,11480,4905770,0.0023401015538845075,0.0022842905429873994,0.0023968800534277523,26.3076529501095,26.203536987314052,26.41248658223372
19,bbmerge,100000000,120,0,0.01,19,0.012589254117941675,12785275,16776,12802051,0.0013104150264672434,0.0012845179189132638,0.001336683483166623,28.82591135520783,28.73971418308561,28.912598329851225
20,bbmerge,100000000,120,0,0.01,20,0.01,4579213,14313,4593526,0.0031159070396031283,0.003049330722624921,0.003183514729858894,25.064155076071835,24.970931363509052,25.157954706094188
21,bbmerge,100000000,120,0,0.01,21,0.007943282347242814,2534397,10873,2545270,0.004271845423078888,0.004167275600543308,0.004378272883438616,23.693844706607827,23.586971737689343,23.801477767596158
